seed,label,stable,fail_reason,gi,disp_p95,outside_skull_frac,runtime_s
11,hf_matrix_reference,1,none,0.6784391403198242,0.35343438386917114,0.0,0.8908167500048876
11,hf_matrix_layered,1,none,0.7442442774772644,0.43727630376815796,0.003115264797507788,0.9681894998066127
23,hf_matrix_reference,1,none,0.6784391403198242,0.35343438386917114,0.0,0.8877140001859516
23,hf_matrix_layered,1,none,0.7442442774772644,0.43727630376815796,0.003115264797507788,0.9621810829266906
37,hf_matrix_reference,1,none,0.6784391403198242,0.35343438386917114,0.0,0.9056270830333233
37,hf_matrix_layered,1,none,0.7442442774772644,0.43727630376815796,0.003115264797507788,0.9765415829606354
