run_id,label,simulation_mode,profile_version,growth_mode,uniform_rate,high_rate,low_rate,Kc,Kb,damping,carrying_cap_factor,tau,anisotropy_mode,anisotropy_strength,anisotropy_high,anisotropy_low,collision_mode,enable_self_collision,self_collision_use_spatial_hash,self_collision_min_dist,self_collision_stiffness,self_collision_n_sample,self_collision_hash_cell_size,self_collision_hash_neighbor_window,self_collision_deterministic_fallback,self_collision_blend_sampled_weight,enable_adaptive_substepping,adaptive_substep_min,adaptive_substep_max,adaptive_target_disp,adaptive_force_safety_scale,fail_on_nonfinite,high_fidelity,enable_two_layer_approx,two_layer_threshold,two_layer_transition_sharpness,outer_layer_growth_scale,inner_layer_growth_scale,two_layer_coupling,max_force_norm,max_acc_norm,max_velocity_norm,max_displacement_per_step,n_steps,dt,seed,run_config_hash,sweep_config_hash,git_commit,fail_reason,stable,runtime_s,final_area,area_ratio,gi,gi_plausible,mean_curv_mean,mean_curv_std,mean_curv_abs_max,mean_curv_p50,mean_curv_p90,mean_curv_p99,disp_mean,disp_p95,outside_skull_frac,skull_penetration_mean,skull_penetration_p95,skull_penetration_max,collision_force_l2,total_force_l2,collision_force_share,collision_overlap_mean,collision_overlap_p95,collision_overlap_max,collision_overlap_count,collision_overlap_frac
1,hf_uniform_low,high_fidelity,hf_v1_2026_02_15,uniform,0.32,0.0,0.0,2.0,3.2,0.92,4.0,520.0,none,0.0,0.0,0.0,spatial_hash,1,1,0.04,70.0,1024,0.04,10,1,0.35,1,1,4,0.012,1.0,1,1,0,0.0,6.0,1.15,0.85,0.1,260.0,220.0,0.95,0.018,120,0.02,42,2bf867a67ca12cfb8607b3269a20fdfdab25868fc99b5ed984c04b1c0fd2d8ec,ad8beef081d7666398a972a4b2ba340e75a739832e06f5817932990365604912,cfefb94,none,1,0.8939735840540379,17.601734161376953,1.4074076051038245,0.6225339770317078,0,1.5736597776412964,0.9633046388626099,5.203178405761719,1.5573201179504395,2.8449361324310303,3.8160805702209473,0.16625677049160004,0.21771350502967834,0.0,0.0,0.0,0.0,0.0,334.79302978515625,0.0,0.0,0.0,0.0,0.0,0.0
2,hf_uniform_mid,high_fidelity,hf_v1_2026_02_15,uniform,0.48,0.0,0.0,1.9,3.1,0.92,4.1,520.0,none,0.0,0.0,0.0,spatial_hash,1,1,0.04,70.0,1024,0.04,10,1,0.35,1,1,4,0.012,1.0,1,1,0,0.0,6.0,1.15,0.85,0.1,260.0,220.0,0.95,0.018,120,0.02,42,9a6459d65ed4a880d356ebbbc14b9dd207de4021108188e4656f1766d20d9ab0,ad8beef081d7666398a972a4b2ba340e75a739832e06f5817932990365604912,cfefb94,none,1,0.8265151251107454,18.624465942382812,1.4891836661085103,0.6587057113647461,0,1.4895687103271484,0.8670886158943176,4.17317008972168,1.405634880065918,2.6790220737457275,3.542649269104004,0.19984930753707886,0.2549445629119873,0.0,0.0,0.0,0.0,0.0,286.3760681152344,0.0,0.0,0.0,0.0,0.0,0.0
3,hf_regional_aniso,high_fidelity,hf_v1_2026_02_15,regional,0.0,0.9,0.18,1.9,2.8,0.92,4.2,520.0,regional,0.35,1.0,0.0,spatial_hash,1,1,0.04,70.0,1024,0.04,10,1,0.35,1,1,4,0.012,1.0,1,1,0,0.0,6.0,1.15,0.85,0.1,260.0,220.0,0.95,0.018,120,0.02,42,92895c6e5a1f33092b8f1fb689c6155516d1efd8fcd0e7b68cd8dbcc71539b4a,ad8beef081d7666398a972a4b2ba340e75a739832e06f5817932990365604912,cfefb94,none,1,0.847233584150672,19.982175827026367,1.5977440613316645,0.7067248821258545,0,1.565876841545105,0.9475998878479004,4.846813678741455,1.4699862003326416,2.845000743865967,4.064153671264648,0.2240545004606247,0.39529624581336975,0.0,0.0,0.0,0.0,0.0,296.2125244140625,0.0,0.0,0.0,0.0,0.0,0.0
4,hf_regional_layered,high_fidelity,hf_v1_2026_02_15,regional,0.0,1.05,0.22,2.0,2.9,0.92,4.2,520.0,none,0.0,0.0,0.0,spatial_hash,1,1,0.04,70.0,1024,0.04,10,1,0.35,1,1,4,0.012,1.0,1,1,1,0.0,6.0,1.23,0.78,0.12,260.0,220.0,0.95,0.018,120,0.02,42,0ce74ae7f278b43601b67ebe8c71318f2d4158dfbad545a8d0b0c4db63a81fa5,ad8beef081d7666398a972a4b2ba340e75a739832e06f5817932990365604912,cfefb94,none,1,0.9728884170763195,20.859004974365234,1.6678539720386039,0.7377364039421082,0,1.4550374746322632,0.8652393817901611,4.239882946014404,1.403252363204956,2.6584420204162598,3.4920506477355957,0.2485424280166626,0.4239594638347626,0.0,0.0,0.0,0.0,0.0,246.90371704101562,0.0,0.0,0.0,0.0,0.0,0.0
