run_id,label,growth_mode,uniform_rate,high_rate,low_rate,Kc,Kb,damping,carrying_cap_factor,tau,anisotropy_mode,anisotropy_strength,anisotropy_high,anisotropy_low,collision_mode,enable_self_collision,self_collision_use_spatial_hash,self_collision_min_dist,self_collision_stiffness,self_collision_n_sample,self_collision_hash_cell_size,self_collision_hash_neighbor_window,self_collision_deterministic_fallback,enable_two_layer_approx,two_layer_threshold,two_layer_transition_sharpness,outer_layer_growth_scale,inner_layer_growth_scale,two_layer_coupling,max_force_norm,max_acc_norm,max_velocity_norm,max_displacement_per_step,n_steps,dt,seed,run_config_hash,sweep_config_hash,git_commit,fail_reason,stable,runtime_s,final_area,area_ratio,gi,gi_plausible,mean_curv_mean,mean_curv_std,mean_curv_abs_max,mean_curv_p50,mean_curv_p90,mean_curv_p99,disp_mean,disp_p95,outside_skull_frac,skull_penetration_mean,skull_penetration_p95,skull_penetration_max,collision_force_l2,total_force_l2,collision_force_share,collision_overlap_mean,collision_overlap_p95,collision_overlap_max,collision_overlap_count,collision_overlap_frac
1,layered_off_reference,regional,0.0,1.1,0.2,1.6,2.6,0.88,4.5,450.0,none,0.0,0.0,0.0,spatial_hash,1,1,0.16,120.0,4096,0.16,6,1,0,0.0,6.0,1.15,0.85,0.1,900.0,900.0,4.0,0.04,140,0.02,11,8d667f8695b804bf9ddc836eb491ed807a27fee5ab2dda876fc961cfd6e7bbda,0df1bc67427d103fc4824c013be7f15f44067458101e09776d4d30e681952e30,227bd17,none,1,0.4806498750112951,60.60215759277344,4.845655359852201,2.1433627605438232,1,2.738704204559326,1.1949576139450073,8.532354354858398,2.7793874740600586,4.1320061683654785,5.884597301483154,0.4294506907463074,0.6818244457244873,0.2881619937694704,0.02464371733367443,0.1475423276424408,0.25595200061798096,25.876991271972656,1229.40283203125,0.021048423346494205,6.899374511704082e-06,0.0,0.10991302132606506,37.0,0.0001815140231847371
2,layered_on_reference,regional,0.0,1.1,0.2,1.6,2.6,0.88,4.5,450.0,none,0.0,0.0,0.0,spatial_hash,1,1,0.16,120.0,4096,0.16,6,1,1,0.0,6.0,1.18,0.82,0.12,900.0,900.0,4.0,0.04,140,0.02,11,f85657b5cd4a9a7cc06df3ce73bc679e7e053ff216ff792a90470c9375739e1c,0df1bc67427d103fc4824c013be7f15f44067458101e09776d4d30e681952e30,227bd17,none,1,0.49512112489901483,63.17692565917969,5.051529856354376,2.234426736831665,1,2.7186200618743896,1.131130337715149,8.772254943847656,2.7406229972839355,4.1063079833984375,5.669992446899414,0.43076616525650024,0.680706799030304,0.2819314641744548,0.023595042526721954,0.1490265130996704,0.2925792932510376,31.308866500854492,648.935791015625,0.048246478209892175,7.026806997600943e-06,0.0,0.0998295396566391,45.0,0.00022076029846792352
3,layered_clip_tight,regional,0.0,1.1,0.2,1.6,2.6,0.88,4.5,450.0,none,0.0,0.0,0.0,spatial_hash,1,1,0.16,120.0,4096,0.16,6,1,1,0.0,6.0,1.18,0.82,0.12,280.0,280.0,2.2,0.02,140,0.02,11,4a12cd1cbe753392a55a39a36a764d822ba1771e3fdd51a7df245003e3591734,0df1bc67427d103fc4824c013be7f15f44067458101e09776d4d30e681952e30,227bd17,none,1,0.4751730840653181,33.85095977783203,2.7066707061128294,1.1972328424453735,1,2.4046413898468018,1.294568419456482,7.482134819030762,2.380131244659424,4.138399600982666,5.588422775268555,0.3641112148761749,0.5904030203819275,0.22118380062305296,0.011792331002652645,0.07924623042345047,0.1623929738998413,3.519826650619507,568.7192993164062,0.0061890402784823655,1.2754378531099064e-06,0.0,0.044716961681842804,14.0,6.86809817455762e-05
4,layered_clip_relaxed,regional,0.0,1.1,0.2,1.6,2.6,0.88,4.5,450.0,none,0.0,0.0,0.0,spatial_hash,1,1,0.16,120.0,4096,0.16,6,1,1,0.0,6.0,1.18,0.82,0.12,1500.0,1500.0,6.0,0.08,140,0.02,11,d6e19dc64868b2b860f2dc18145f50b9a5764d07b7ff915322e21b5f461ed969,0df1bc67427d103fc4824c013be7f15f44067458101e09776d4d30e681952e30,227bd17,none,1,0.46586499991826713,87.4471435546875,6.99213916964675,3.0928099155426025,1,2.6545755863189697,1.0420924425125122,8.122050285339355,2.5912256240844727,3.9788568019866943,5.249847888946533,0.4559251070022583,0.7281850576400757,0.27414330218068533,0.025389615446329117,0.14590643346309662,0.46391761302948,40.45774459838867,651.611328125,0.06208876803109779,1.2694903489318676e-05,0.0,0.10625790804624557,74.0,0.0003630280463694742
5,layered_damping_low,regional,0.0,1.1,0.2,1.6,2.6,0.84,4.5,450.0,none,0.0,0.0,0.0,spatial_hash,1,1,0.16,120.0,4096,0.16,6,1,1,0.0,6.0,1.18,0.82,0.12,900.0,900.0,4.0,0.04,140,0.02,11,fca5210f7c6181536166998f28dc1dd6428c0fb1bdd8bd5db29ca5915f9b9f43,0df1bc67427d103fc4824c013be7f15f44067458101e09776d4d30e681952e30,227bd17,none,1,0.4545697090215981,67.32960510253906,5.383571720897858,2.3812975883483887,1,2.722700357437134,1.1106443405151367,8.407646179199219,2.7648720741271973,4.112377166748047,5.323853969573975,0.4366540312767029,0.6677829623222351,0.2819314641744548,0.02116241864860058,0.1283242404460907,0.26970016956329346,31.97618293762207,849.9450073242188,0.03762147275655975,8.990327842184342e-06,0.0,0.12233578413724899,51.0,0.00025019500493031336
6,layered_damping_high,regional,0.0,1.1,0.2,1.6,2.6,0.92,4.5,450.0,none,0.0,0.0,0.0,spatial_hash,1,1,0.16,120.0,4096,0.16,6,1,1,0.0,6.0,1.18,0.82,0.12,900.0,900.0,4.0,0.04,140,0.02,11,1e240797027f9edb4f488dc9526ce2a9b332a22a69f27a1dc3e4e68f1c2d1989,0df1bc67427d103fc4824c013be7f15f44067458101e09776d4d30e681952e30,227bd17,none,1,0.41361545911058784,62.20525360107422,4.973836452300742,2.2000608444213867,1,2.688422203063965,1.0860384702682495,7.141539573669434,2.6941394805908203,3.9758896827697754,5.603305816650391,0.4305504560470581,0.6535521149635315,0.2757009345794392,0.019640011712908745,0.12257678806781769,0.26254963874816895,38.12068176269531,770.4805908203125,0.049476498456773745,7.399060450552497e-06,0.0,0.12171906232833862,51.0,0.00025019500493031336
7,layered_dt_small,regional,0.0,1.1,0.2,1.6,2.6,0.88,4.5,450.0,none,0.0,0.0,0.0,spatial_hash,1,1,0.16,120.0,4096,0.16,6,1,1,0.0,6.0,1.18,0.82,0.12,900.0,900.0,4.0,0.04,140,0.015,11,d0365ea10acaad89b7f2a3e82eda2b89fee47240fafdd8ffd51064145ac3cd85,0df1bc67427d103fc4824c013be7f15f44067458101e09776d4d30e681952e30,227bd17,none,1,0.4114940830040723,18.208953857421875,1.4559599585450949,0.6440100073814392,0,1.7039481401443481,1.1121597290039062,6.9447855949401855,1.551682472229004,3.1369869709014893,4.6628947257995605,0.16157731413841248,0.3130316138267517,0.001557632398753894,0.00012519593292381614,0.0,0.0803757905960083,0.0,292.9387512207031,0.0,0.0,0.0,0.0,0.0,0.0
8,layered_dt_large,regional,0.0,1.1,0.2,1.6,2.6,0.88,4.5,450.0,none,0.0,0.0,0.0,spatial_hash,1,1,0.16,120.0,4096,0.16,6,1,1,0.0,6.0,1.18,0.82,0.12,900.0,900.0,4.0,0.04,140,0.025,11,9acc14b35cc9fa2218d064acff58393d7fafa9741bcc77f92eed01041431efd4,0df1bc67427d103fc4824c013be7f15f44067458101e09776d4d30e681952e30,227bd17,none,1,0.43228687485679984,122.46759033203125,9.792320258435083,4.331405162811279,0,2.4534785747528076,0.9102473258972168,9.494024276733398,2.4115257263183594,3.518050193786621,5.089980602264404,0.4466153085231781,0.7244571447372437,0.1059190031152648,0.007507613860070705,0.060506246984004974,0.25304579734802246,62.1353645324707,666.41943359375,0.09323762393512144,3.152015415253118e-05,0.0,0.12598633766174316,181.0,0.0008879469782820924
