run_id,label,growth_mode,uniform_rate,high_rate,low_rate,Kc,Kb,damping,carrying_cap_factor,tau,anisotropy_mode,anisotropy_strength,anisotropy_high,anisotropy_low,collision_mode,enable_self_collision,self_collision_use_spatial_hash,self_collision_min_dist,self_collision_stiffness,self_collision_n_sample,self_collision_hash_cell_size,self_collision_hash_neighbor_window,self_collision_deterministic_fallback,enable_two_layer_approx,two_layer_threshold,two_layer_transition_sharpness,outer_layer_growth_scale,inner_layer_growth_scale,two_layer_coupling,max_force_norm,max_acc_norm,max_velocity_norm,max_displacement_per_step,n_steps,dt,seed,run_config_hash,sweep_config_hash,git_commit,fail_reason,stable,runtime_s,final_area,area_ratio,gi,gi_plausible,mean_curv_mean,mean_curv_std,mean_curv_abs_max,mean_curv_p50,mean_curv_p90,mean_curv_p99,disp_mean,disp_p95,outside_skull_frac,skull_penetration_mean,skull_penetration_p95,skull_penetration_max,collision_force_l2,total_force_l2,collision_force_share,collision_overlap_mean,collision_overlap_p95,collision_overlap_max,collision_overlap_count,collision_overlap_frac
1,collision_disabled_baseline,regional,0.0,1.2,0.2,1.6,2.6,0.88,4.5,450.0,none,0.0,0.0,0.0,disabled,0,0,0.16,120.0,4096,0.02,8,1,0,0.0,6.0,1.15,0.85,0.1,1000.0,1000.0,5.0,0.05,140,0.02,42,e8887dd5ba4be1f41960b93166b5e322fbe95501dd8826de1cc4b93ac116dc9e,876758d2383a01947f95493a32b29022bbe6e6937a337ec7f97ce597266a4590,ca1c4cf,none,1,0.30253666709177196,78.40299987792969,6.268983344452486,2.7729389667510986,1,2.7182841300964355,1.1374084949493408,8.022193908691406,2.673781394958496,4.171908378601074,5.7534003257751465,0.46346765756607056,0.7111533284187317,0.3177570093457944,0.028592659160494804,0.1619487702846527,0.303097128868103,0.0,647.7938842773438,0.0,1.381535275868373e-05,0.0,0.10567115247249603,73.0,0.00035812226195907596
2,collision_sampled_deterministic,regional,0.0,1.2,0.2,1.6,2.6,0.88,4.5,450.0,none,0.0,0.0,0.0,sampled,1,0,0.16,120.0,4096,0.02,8,1,0,0.0,6.0,1.15,0.85,0.1,1000.0,1000.0,5.0,0.05,140,0.02,42,74b123c22d1980e687157511bc9f1a68067d542fc6b3c99255bbf2c5f826038a,876758d2383a01947f95493a32b29022bbe6e6937a337ec7f97ce597266a4590,ca1c4cf,none,1,0.2795371660031378,78.48092651367188,6.27521423845294,2.7756950855255127,1,2.728360176086426,1.1405714750289917,8.022193908691406,2.674205780029297,4.273946285247803,5.7516584396362305,0.4636991024017334,0.7111533284187317,0.3161993769470405,0.028627455234527588,0.16390135884284973,0.3034762144088745,0.0,682.9926147460938,0.0,1.3057737305643968e-05,0.0,0.105674609541893,73.0,0.00035812226195907596
3,collision_spatial_hash,regional,0.0,1.2,0.2,1.6,2.6,0.88,4.5,450.0,none,0.0,0.0,0.0,spatial_hash,1,1,0.16,120.0,4096,0.16,6,1,0,0.0,6.0,1.15,0.85,0.1,1000.0,1000.0,5.0,0.05,140,0.02,42,04bc26c43033303d3d46bb25c4fb22d9955b94e694345565536b6dd770bad525,876758d2383a01947f95493a32b29022bbe6e6937a337ec7f97ce597266a4590,ca1c4cf,none,1,0.4148594159632921,72.9864273071289,5.8358825283709965,2.581366777420044,1,2.751875638961792,1.1495314836502075,6.979868412017822,2.7112956047058105,4.176405429840088,5.871671676635742,0.4574553966522217,0.6894176006317139,0.32866043613707163,0.026099808514118195,0.13023385405540466,0.3409231901168823,39.332862854003906,1485.4539794921875,0.026478681532395982,1.2285178854654077e-05,0.0,0.12020762264728546,58.0,0.0002845354958031014
