seed,label,stable,fail_reason,gi,disp_p95,outside_skull_frac,runtime_s
11,layered_on_reference,1,none,2.234426736831665,0.680706799030304,0.2819314641744548,0.4976768749766052
11,layered_clip_tight,1,none,1.1972328424453735,0.5904030203819275,0.22118380062305296,0.41124408319592476
23,layered_on_reference,1,none,2.234426736831665,0.680706799030304,0.2819314641744548,0.49790466693229973
23,layered_clip_tight,1,none,1.1972328424453735,0.5904030203819275,0.22118380062305296,0.41468433290719986
37,layered_on_reference,1,none,2.234426736831665,0.680706799030304,0.2819314641744548,0.49916541716083884
37,layered_clip_tight,1,none,1.1972328424453735,0.5904030203819275,0.22118380062305296,0.4095137498807162
