seed,label,stable,fail_reason,gi,disp_p95,outside_skull_frac,runtime_s
11,layered_off_reference,1,none,2.1433627605438232,0.6818244457244873,0.2881619937694704,0.4720417498610914
11,layered_on_reference,1,none,2.234426736831665,0.680706799030304,0.2819314641744548,0.4862121660262346
23,layered_off_reference,1,none,2.1433627605438232,0.6818244457244873,0.2881619937694704,0.4751155418343842
23,layered_on_reference,1,none,2.234426736831665,0.680706799030304,0.2819314641744548,0.48223774996586144
37,layered_off_reference,1,none,2.1433627605438232,0.6818244457244873,0.2881619937694704,0.47760833404026926
37,layered_on_reference,1,none,2.234426736831665,0.680706799030304,0.2819314641744548,0.4800662079360336
