seed,label,stable,fail_reason,gi,disp_p95,outside_skull_frac,runtime_s
11,layered_off_reference,1,none,2.1433627605438232,0.6818244457244873,0.2881619937694704,0.4806498750112951
11,layered_on_reference,1,none,2.234426736831665,0.680706799030304,0.2819314641744548,0.49512112489901483
23,layered_off_reference,1,none,2.1433627605438232,0.6818244457244873,0.2881619937694704,0.4826484580989927
23,layered_on_reference,1,none,2.234426736831665,0.680706799030304,0.2819314641744548,0.48478545807302
37,layered_off_reference,1,none,2.1433627605438232,0.6818244457244873,0.2881619937694704,0.4883714581374079
37,layered_on_reference,1,none,2.234426736831665,0.680706799030304,0.2819314641744548,0.48842183290980756
